# SPDX-FileCopyrightText: 2026 VTT Technical Research Centre of Finland Ltd
# SPDX-License-Identifier: AGPL-3.0-or-later
fd_order,design_order,N,dx,eigenvalue,eigenvalue_residual,l2_error,observed_order
2,2,16,3.9269908170e-01,-8.0060474003e+00,4.1306532055e-14,2.2973362182e-02,
2,2,24,2.6179938780e-01,-8.5467708320e+00,1.6824530513e-12,1.0334048779e-02,1.9703082032e+00
2,2,32,1.9634954085e-01,-8.7427575609e+00,3.0134988255e-12,5.8366153945e-03,1.9858487258e+00
2,2,48,1.3089969390e-01,-8.8849334769e+00,7.6214902985e-12,2.6014854303e-03,1.9929420700e+00
2,2,64,9.8174770425e-02,-8.9351293969e+00,1.1028499109e-11,1.4647885583e-03,1.9965501955e+00
4,4,16,3.9269908170e-01,-8.8297583505e+00,3.3610791765e-14,3.8542332570e-03,
4,4,24,2.6179938780e-01,-8.9639860352e+00,1.3587163619e-12,8.1261437507e-04,3.8392223295e+00
4,4,32,1.9634954085e-01,-8.9883276145e+00,1.2646727018e-12,2.6321391811e-04,3.9185257030e+00
4,4,48,1.3089969390e-01,-8.9976543585e+00,7.8068520217e-12,5.2882208886e-05,3.9581707032e+00
4,4,64,9.8174770425e-02,-8.9992533423e+00,1.4917054786e-11,1.6832636452e-05,3.9792097877e+00
6,6,16,3.9269908170e-01,-8.9653557949e+00,9.4711676094e-14,7.8168051981e-04,
6,6,24,2.6179938780e-01,-8.9965725696e+00,4.1100602543e-13,7.7273103155e-05,5.7072732704e+00
6,6,32,1.9634954085e-01,-8.9993638855e+00,1.1356309276e-12,1.4340512911e-05,5.8545787171e+00
6,6,48,1.3089969390e-01,-8.9999424562e+00,4.8992322721e-12,1.2972438431e-06,5.9261491585e+00
6,6,64,9.8174770425e-02,-8.9999896504e+00,7.8260959935e-13,2.3331607301e-07,5.9635384530e+00
8,8,16,3.9269908170e-01,-8.9922614714e+00,2.8215886320e-14,1.7448773470e-04,
8,8,24,2.6179938780e-01,-8.9996404044e+00,9.9948604568e-13,8.1066386336e-06,7.5695074106e+00
8,8,32,1.9634954085e-01,-8.9999617256e+00,7.2675617655e-13,8.6284145397e-07,7.7870950076e+00
8,8,48,1.3089969390e-01,-8.9999984398e+00,1.9220750504e-12,3.5173506204e-08,7.8920177364e+00
8,8,64,9.8174770425e-02,-8.9999998414e+00,3.0017638041e-12,3.5757795961e-09,7.9466540750e+00
10,10,16,3.9269908170e-01,-8.9981670073e+00,1.3265278020e-13,4.1324072708e-05,
10,10,24,2.6179938780e-01,-8.9999598881e+00,1.9137856783e-12,9.0426601535e-07,9.4264014958e+00
10,10,32,1.9634954085e-01,-8.9999975494e+00,7.1075139455e-13,5.5246321057e-08,9.7167049969e+00
10,10,48,1.3089969390e-01,-8.9999999549e+00,5.5825015212e-12,1.0156306385e-09,9.8560688276e+00
10,10,64,9.8174770425e-02,-8.9999999974e+00,7.4654960857e-12,5.8196735724e-11,9.9395687988e+00
12,12,16,3.9269908170e-01,-8.9995479108e+00,5.0377562992e-14,1.0191814580e-05,
12,12,24,2.6179938780e-01,-8.9999953330e+00,7.6058096800e-13,1.0521021754e-07,1.1279342348e+01
12,12,32,1.9634954085e-01,-8.9999998362e+00,1.7762500133e-12,3.6916810755e-09,1.1644376939e+01
12,12,48,1.3089969390e-01,-8.9999999986e+00,1.4710497123e-12,3.0577867297e-11,1.1822375482e+01
12,12,64,9.8174770425e-02,-9.0000000000e+00,8.9530291890e-13,1.0129478185e-12,1.1844365953e+01
