# Equal-accuracy cost of each spatial operator, from heat3d_spectral_content_study.
# content_fraction is the coarsest grid the method may use and still meet target_l2,
# expressed as the fraction of Nyquist the field's content then reaches (see the map CSV).
# relative_cost = (wall_step_ms / content_fraction^3) / spectral wall_step_ms: an N^3 cost
# model at a FIXED step count, using the measured per-step costs in heat3d_method_cost.csv
# (N=1024, 8 GCDs). That model is generous to FD, whose explicit dt also falls as dx^2.
# The spectral operator is exact, so its content_fraction is 1 (representation only)
# and its relative_cost is 1 at every target.
target_l2,method,fd_order,content_fraction,wall_step_ms,relative_cost,beats_spectral
1.0000000000e-02,spectral,0,1.0,2.1382000000e+02,1.0,
1.0000000000e-03,spectral,0,1.0,2.1382000000e+02,1.0,
1.0000000000e-04,spectral,0,1.0,2.1382000000e+02,1.0,
1.0000000000e-05,spectral,0,1.0,2.1382000000e+02,1.0,
1.0000000000e-06,spectral,0,1.0,2.1382000000e+02,1.0,
1.0000000000e-07,spectral,0,1.0,2.1382000000e+02,1.0,
1.0000000000e-08,spectral,0,1.0,2.1382000000e+02,1.0,
1.0000000000e-10,spectral,0,1.0,2.1382000000e+02,1.0,
1.0000000000e-02,fd,2,8.5222275898e-01,6.7300000000e+00,5.0851919976e-02,yes
1.0000000000e-02,fd,4,1.0000000000e+00,1.1460000000e+01,5.3596483023e-02,yes
1.0000000000e-02,fd,6,1.0000000000e+00,1.5010000000e+01,7.0199233000e-02,yes
1.0000000000e-02,fd,8,1.0000000000e+00,1.8640000000e+01,8.7176129455e-02,yes
1.0000000000e-02,fd,12,1.0000000000e+00,2.4690000000e+01,1.1547095688e-01,yes
1.0000000000e-03,fd,2,2.6517161321e-01,6.7300000000e+00,1.6880513238e+00,no
1.0000000000e-03,fd,4,6.7554051345e-01,1.1460000000e+01,1.7385296171e-01,yes
1.0000000000e-03,fd,6,8.7836551030e-01,1.5010000000e+01,1.0358730718e-01,yes
1.0000000000e-03,fd,8,9.8899873941e-01,1.8640000000e+01,9.0117755950e-02,yes
1.0000000000e-03,fd,12,1.0000000000e+00,2.4690000000e+01,1.1547095688e-01,yes
1.0000000000e-04,fd,2,8.3731039729e-02,6.7300000000e+00,5.3617589667e+01,no
1.0000000000e-04,fd,4,3.7033997981e-01,1.1460000000e+01,1.0551993057e+00,no
1.0000000000e-04,fd,6,5.6785690646e-01,1.5010000000e+01,3.8336779812e-01,yes
1.0000000000e-04,fd,8,6.8823263277e-01,1.8640000000e+01,2.6741871638e-01,yes
1.0000000000e-04,fd,12,8.1889292702e-01,2.4690000000e+01,2.1027682197e-01,yes
1.0000000000e-05,fd,2,2.6474210633e-02,6.7300000000e+00,1.6962805387e+03,no
1.0000000000e-05,fd,4,2.0658163231e-01,1.1460000000e+01,6.0794064283e+00,no
1.0000000000e-05,fd,6,3.7807856387e-01,1.5010000000e+01,1.2989313633e+00,no
1.0000000000e-05,fd,8,4.9718321544e-01,1.8640000000e+01,7.0932980165e-01,yes
1.0000000000e-05,fd,12,6.3723093770e-01,2.4690000000e+01,4.4625408692e-01,yes
1.0000000000e-06,fd,2,8.3717582596e-03,6.7300000000e+00,5.3643450006e+04,no
1.0000000000e-06,fd,4,1.1587170618e-01,1.1460000000e+01,3.4451178819e+01,no
1.0000000000e-06,fd,6,2.5492076636e-01,1.5010000000e+01,4.2375683946e+00,no
1.0000000000e-06,fd,8,3.6549707197e-01,1.8640000000e+01,1.7854425331e+00,no
1.0000000000e-06,fd,12,5.0714492427e-01,2.4690000000e+01,8.8527156531e-01,yes
1.0000000000e-07,fd,2,2.6473785472e-03,6.7300000000e+00,1.6963622651e+06,no
1.0000000000e-07,fd,4,6.5106514749e-02,1.1460000000e+01,1.9420613708e+02,no
1.0000000000e-07,fd,6,1.7285261456e-01,1.5010000000e+01,1.3592661694e+01,no
1.0000000000e-07,fd,8,2.7113536754e-01,1.8640000000e+01,4.3736000693e+00,no
1.0000000000e-07,fd,12,4.0896124902e-01,2.4690000000e+01,1.6882093029e+00,no
1.0000000000e-08,fd,2,1.0000000000e-03,6.7300000000e+00,3.1475072491e+07,no
1.0000000000e-08,fd,4,3.6602670459e-02,1.1460000000e+01,1.0929441679e+03,no
1.0000000000e-08,fd,6,1.1750574519e-01,1.5010000000e+01,4.3266828681e+01,no
1.0000000000e-08,fd,8,2.0211304429e-01,1.8640000000e+01,1.0558799714e+01,no
1.0000000000e-08,fd,12,3.3246709875e-01,2.4690000000e+01,3.1421487731e+00,no
1.0000000000e-10,fd,2,1.0000000000e-03,6.7300000000e+00,3.1475072491e+07,no
1.0000000000e-10,fd,4,1.1573541690e-02,1.1460000000e+01,3.4573030657e+04,no
1.0000000000e-10,fd,6,5.4460639356e-02,1.5010000000e+01,4.3459443451e+02,no
1.0000000000e-10,fd,8,1.1306982539e-01,1.8640000000e+01,6.0305568839e+01,no
1.0000000000e-10,fd,12,2.2273889811e-01,2.4690000000e+01,1.0449236627e+01,no
