# Semi-analytic L2 error of the central-FD Laplacian against the exact solution
# of the linear heat equation, for a truncated-Gaussian field whose amplitude
# spectrum is down to 0.001 of its peak at a fraction f of Nyquist.
# From heat3d_spectral_content_study; L=2*pi, D=1, tau = D*t*k_c^2 = 1, mode cube N=128.
# The spectral operator's spatial error is identically zero, so it has no rows here.
fd_order,content_fraction,N,tau,l2_error
2,1.0000000000e-01,128,1.0000000000e+00,1.4261557570e-04
2,1.5000000000e-01,128,1.0000000000e+00,3.2069884001e-04
2,2.0000000000e-01,128,1.0000000000e+00,5.6966713846e-04
2,2.5000000000e-01,128,1.0000000000e+00,8.8917015961e-04
2,3.0000000000e-01,128,1.0000000000e+00,1.2787547969e-03
2,3.5000000000e-01,128,1.0000000000e+00,1.7378631373e-03
2,4.0000000000e-01,128,1.0000000000e+00,2.2658301405e-03
2,4.5000000000e-01,128,1.0000000000e+00,2.8618810360e-03
2,5.0000000000e-01,128,1.0000000000e+00,3.5251285116e-03
2,5.5000000000e-01,128,1.0000000000e+00,4.2545697817e-03
2,6.0000000000e-01,128,1.0000000000e+00,5.0490836363e-03
2,6.5000000000e-01,128,1.0000000000e+00,5.9074275895e-03
2,7.0000000000e-01,128,1.0000000000e+00,6.8282352530e-03
2,7.5000000000e-01,128,1.0000000000e+00,7.8100140284e-03
2,8.0000000000e-01,128,1.0000000000e+00,8.8511425293e-03
2,8.5000000000e-01,128,1.0000000000e+00,9.9498622813e-03
2,9.0000000000e-01,128,1.0000000000e+00,1.1104239864e-02
4,1.0000000000e-01,128,1.0000000000e+00,5.5541457330e-07
4,1.5000000000e-01,128,1.0000000000e+00,2.7994110943e-06
4,2.0000000000e-01,128,1.0000000000e+00,8.7934361897e-06
4,2.5000000000e-01,128,1.0000000000e+00,2.1301182540e-05
4,3.0000000000e-01,128,1.0000000000e+00,4.3754401559e-05
4,3.5000000000e-01,128,1.0000000000e+00,8.0170131608e-05
4,4.0000000000e-01,128,1.0000000000e+00,1.3505765653e-04
4,4.5000000000e-01,128,1.0000000000e+00,2.1331863687e-04
4,5.0000000000e-01,128,1.0000000000e+00,3.2014354795e-04
4,5.5000000000e-01,128,1.0000000000e+00,4.6090708520e-04
4,6.0000000000e-01,128,1.0000000000e+00,6.4106465118e-04
4,6.5000000000e-01,128,1.0000000000e+00,8.6605150528e-04
4,7.0000000000e-01,128,1.0000000000e+00,1.1411856962e-03
4,7.5000000000e-01,128,1.0000000000e+00,1.4715754454e-03
4,8.0000000000e-01,128,1.0000000000e+00,1.8620299488e-03
4,8.5000000000e-01,128,1.0000000000e+00,2.3169629410e-03
4,9.0000000000e-01,128,1.0000000000e+00,2.8402471354e-03
6,1.0000000000e-01,128,1.0000000000e+00,3.8106662598e-09
6,1.5000000000e-01,128,1.0000000000e+00,4.2964181948e-08
6,2.0000000000e-01,128,1.0000000000e+00,2.3798236370e-07
6,2.5000000000e-01,128,1.0000000000e+00,8.9141701545e-07
6,3.0000000000e-01,128,1.0000000000e+00,2.6034411837e-06
